"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","3039","3.455","45.3","23.5","13.8","4.7","3.9","1.5","1.0","3.0","",".","0.4","",".","0.6","1.7","0.2","0.5","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","515","3.209","32.8","24.3","16.1","10.3","8.5","2.5","1.9",".","",".",".","",".",".","3.5",".",".","."
"Sophomore","","685","3.479","48.5","21.2","17.8","4.5","3.8","1.8","0.4",".","",".","0.1","",".",".","1.9",".",".","."
"Junior","","709","3.441","43.6","28.5","15.0","5.1","3.9","1.6","1.1",".","",".","0.1","",".",".","1.0","0.1",".","."
"Senior","","852","3.590","54.5","24.3","11.5","2.6","2.3","0.9","0.7","0.1","",".","0.6","",".","1.3","0.7","0.4",".","0.1"
"Undergraduates","","2761","3.446","46.1","24.6","14.8","5.1","4.3","1.6","1.0","0.0","",".","0.3","",".","0.4","1.6","0.1",".","0.0"
"Special","","113","3.321","17.7","18.6","6.2","1.8","1.8","0.9","1.8","41.6","",".",".","",".",".","1.8","1.8","6.2","."
"Graduate","","164","3.891","49.4","8.5","1.2",".",".",".",".","25.6","",".","2.4","",".","3.7","4.3",".","4.9","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3039","3.455","45.3","23.5","13.8","4.7","3.9","1.5","1.0","3.0","",".","0.4","",".","0.6","1.7","0.2","0.5","0.0"
