"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","9","3.278","55.6",".","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","12","3.591","41.7","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"Architectural Visualization","250","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","43","3.302","18.6","37.2","32.6","9.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","56","3.000","16.1","16.1","33.9","19.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","61","2.926","14.8","26.2","26.2","11.5","14.8","4.9","1.6",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","67","3.590","49.3","25.4","22.4",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","13","3.833","61.5","30.8",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Envr Engr Thermodynamics","324","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","39","3.308","25.6","17.9","48.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","37","3.581","51.4","24.3","16.2","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","42","3.357","38.1","11.9","35.7","11.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","004","","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","43","3.535","44.2","30.2","16.3","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Env Sustain Eng","421","001","","34","3.758","61.8","26.5","5.9","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Env Engr Microbiology","425","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","426","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","002","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","002","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","36","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","10","3.250","40.0","10.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","35","3.414","28.6","37.1","28.6",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Architectural Design","451","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","19","3.289","21.1","26.3","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","52","3.615","53.8","19.2","25.0",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","54","3.558","46.3","29.6","11.1","3.7","5.6",".",".","1.9",".",".",".",".","1.9",".",".","."
"Water Chemistry","500","001","","13","3.538","53.8","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations","532","001","","19","3.500","21.1","63.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","17","3.647","76.5",".","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
