"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","274","3.002","18.2","25.9","23.7","12.4","12.0","4.7","1.1","0.7",".",".",".",".","1.1",".",".","."
"Weather and Climate","101","001","85","3.065","27.1","27.1","21.2","7.1","8.2","5.9","3.5",".",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters","140","001","154","3.516","53.9","24.7","7.8","3.2","8.4","1.3","0.6",".",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","24","3.813","79.2","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","21","3.925","81.0","14.3",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","16","3.133","25.0","25.0","6.3","25.0","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"Introduction to Air Quality","355","001","25","3.417","36.0","20.0","32.0","4.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"Radar & Satellite Meteorology","441","001","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","13","3.000","15.4","7.7","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Methods in AOS","573","001","22","3.386","22.7","31.8","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630","001","14","3.643","64.3","21.4",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Physical Oceanography","660","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Air Pollution Chemistry","701","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Circulatn of Atmosphere","712","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meterologicl Satellite Appl","745","001","6","3.786","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"The Frontal Cyclone","751","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","801","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","13","",".",".",".",".",".",".",".","7.7",".",".",".","92.3",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 300 of 467",""
