"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Media & Human Behavior","325","001","78","3.132","28.2","21.8","21.8","7.7","5.1","5.1","2.6","5.1",".",".",".",".","2.6",".",".","."
"Online Comm & Personal Rltnshp","345","001","100","3.278","25.0","30.0","26.0","11.0","7.0",".",".","1.0",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","96","3.132","10.4","35.4","35.4","7.3","9.4","1.0",".",".",".",".",".",".","1.0",".",".","."
"Introduction to Film","350","001","180","3.522","44.4","31.7","14.4","5.0","1.7","0.6","1.1","1.1",".",".",".",".",".",".",".","."
"Television Industries","351","001","114","2.925","10.5","27.2","33.3","8.8","14.0","2.6","2.6",".",".",".",".",".",".",".","0.9","."
"Intro to Media Production","355","001","137","3.599","37.2","51.1","9.5","1.5",".",".","0.7",".",".",".",".",".",".",".",".","."
"Sports Media","359","001","42","3.321","28.6","40.5","9.5","14.3","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"Rhetoric, Politics, Culture","360","001","67","3.634","56.7","26.9","11.9","1.5",".","3.0",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","66","3.273","36.4","27.3","15.2","6.1","10.6","4.5",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","101","2.985","21.8","21.8","17.8","20.8","11.9","3.0","2.0",".",".",".",".",".","1.0",".",".","."
"Topics in Digital Studies","377","001","38","3.605","42.1","44.7","7.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","22","3.143","13.6","22.7","40.9","13.6","4.5",".",".",".",".",".",".",".",".","4.5",".","."
"Gender Sexuality & the Media","418","001","29","2.931","10.3","31.0","27.6","17.2","6.9","3.4","3.4",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419","001","14","3.917","78.6",".","7.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Asian Americans and Media","420","001","18","3.382","38.9","16.7","27.8",".","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"Sound Cultures/Podcasting","449","001","40","3.300","12.5","40.0","42.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural Hist of Broadcasting","450","001","45","3.313","37.8","20.0","8.9","13.3","4.4","4.4",".","2.2",".",".",".",".","6.7","2.2",".","."
"","465","001","16","3.667","31.3","62.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","465","002","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","32","3.710","40.6","56.3",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","466","001","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466","002","15","3.643","53.3","13.3","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Writing for TV & Film","","Course Total","30","3.690","56.7","20.0","20.0",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","467","001","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","15","3.700","60.0","33.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","","Course Total","30","3.633","43.3","46.7","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Nature of Criticism","476","001","37","3.944","89.2","5.4","2.7",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Digitally Doc Everyday Comm","522","001","22","3.614","72.7","13.6","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Contemporary Hollywood Cinema","552","001","61","3.238","24.6","32.8","26.2","4.9","8.2","3.3",".",".",".",".",".",".",".",".",".","."
"Globalization/Transnationalism","573","001","14","3.571","28.6","64.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577","001","17","3.059","41.2","11.8","11.8","11.8","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"Digital Studies Capstone","605","001","103","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610","001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Film","613","001","21","3.676","47.6","23.8","4.8",".","4.8",".",".","4.8",".",".",".",".","4.8",".","9.5","."
"Field Exper in Communicatn","614","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","617","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","617","002","17","3.765","70.6","23.5",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","19","3.763","68.4","26.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
