"L&S","","","","","","","","","","","","","","","","","","","","",""
"PUBLIC AFFAIRS & PUBLIC POLI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR
Dept. Total
826","681","3.643","52.4","24.7","8.5","3.8","2.1","0.1","0.4","0.3","",".","7.0","",".","",".","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","28","3.446","39.3","35.7","7.1","10.7","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","67","3.343","31.3","34.3","14.9","10.4","9.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","114","3.611","47.4","36.0","8.8","6.1",".","0.9",".",".","",".",".","",".","",".","0.9",".",".","."
"Senior","162","3.692","61.1","24.1","4.9","2.5","0.6",".","1.9",".","",".","4.3","",".","",".","0.6",".",".","."
"Undergraduates","371","3.583","49.9","30.5","8.1","5.7","2.4","0.3","0.8",".","",".","1.9","",".","",".","0.5",".",".","."
"Special","12","3.722","41.7","25.0","8.3",".",".",".",".","16.7","",".",".","",".","",".","8.3",".",".","."
"Graduate","282","3.731","57.4","17.4","8.5","1.8","1.8",".",".",".","",".","12.8","",".","",".","0.4",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","15","3.550","26.7","20.0","20.0",".",".",".",".",".","",".","33.3","",".","",".",".",".",".","."
"Professionals","16","3.591","31.3","18.8","18.8",".",".",".",".",".","",".","31.3","",".","",".",".",".",".","."
"Dept. Total","681","3.643","52.4","24.7","8.5","3.8","2.1","0.1","0.4","0.3","",".","7.0","",".","",".","0.6",".",".","."
