"FOREST AND WILDLIFE ECOLO","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","",""
"Special Topics","Course Total","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem","953
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
006","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
044","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"","990
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
052","15","",".",".",".",".",".",".",".","20.0",".",".",".","80.0",".",".",".","."
"","990
054","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"","990
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","81","",".",".",".",".",".",".",".","46.9",".",".",".","53.1",".",".",".","."
"Advanced Independent Study","999
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"F&W ECOL
396","Dept. Total","707","3.350","39.2","16.8","14.0","6.6","5.8","1.6","0.8","6.5",".",".",".","6.4","2.0",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","",""
"Freshmen","","115","3.032","28.7","19.1","20.9","10.4","14.8","4.3","0.9",".",".",".",".",".","0.9",".",".","."
"Sophomore","","84","3.111","34.5","15.5","22.6","11.9","11.9","3.6",".",".",".",".",".",".",".",".",".","."
"Junior","","149","3.370","44.3","20.8","18.1","10.1","4.0","2.0",".",".",".",".",".",".","0.7",".",".","."
"Senior","","214","3.495","49.5","20.6","11.7","4.7","3.7",".","1.9","0.5",".",".",".","0.9","5.6",".","0.5","0.5"
"Undergraduates","","562","3.307","41.6","19.6","16.9","8.4","7.3","2.0","0.9","0.2",".",".",".","0.4","2.5",".","0.2","0.2"
"Special","","11","3.214","27.3","27.3",".",".",".",".","9.1","36.4",".",".",".",".",".",".",".","."
"Graduate","","134","3.828","29.9","4.5","3.0",".",".",".",".","30.6",".",".",".","32.1",".",".",".","."
"","Dept. Total","707","3.350","39.2","16.8","14.0","6.6","5.8","1.6","0.8","6.5",".",".",".","6.4","2.0",".","0.1","0.1"
