"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Data Sci Prgmg I - Research","Course Total","44","3.810","59.1","36.4",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","001
320","214","3.157","17.8","33.6","31.3","7.0","2.3","0.5","4.2",".",".",".",".",".","2.8","0.5",".","."
"","320
002","199","3.364","29.6","30.2","28.1","6.0","2.5","1.0","0.5",".",".",".",".",".","1.5",".","0.5","."
"Data Sci Programming II","Course Total","413","3.257","23.5","32.0","29.8","6.5","2.4","0.7","2.4",".",".",".",".",".","2.2","0.2","0.2","."
"","352
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","5","***","","","","","","","","","","","","","","","",""
"","354
001","178","3.051","18.0","23.6","33.1","12.4","6.7","1.7","2.8",".",".",".",".",".","1.1","0.6",".","."
"","354
002","207","3.144","21.3","21.7","36.7","11.6","4.8","1.4","1.4",".",".",".",".",".","1.0",".",".","."
"Machine Organizatn&Progrmng","Course Total","385","3.101","19.7","22.6","35.1","11.9","5.7","1.6","2.1",".",".",".",".",".","1.0","0.3",".","."
"","368
001","73","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
002","37","",".",".",".",".",".",".",".",".",".","94.6","5.4",".",".",".",".","."
"","368
003","39","",".",".",".",".",".",".",".",".",".","87.2","12.8",".",".",".",".","."
"","368
004","11","",".",".",".",".",".",".",".",".",".","63.6","36.4",".",".",".",".","."
"Learn a Programming Language","Course Total","160","",".",".",".",".",".",".",".",".",".","93.1","6.9",".",".",".",".","."
"","400
001","191","3.368","36.1","19.4","36.1","3.7","1.6","2.1","0.5",".",".",".",".",".","0.5",".",".","."
"","400
002","190","3.297","30.5","32.6","22.1","7.9","2.1","3.2","1.6",".",".",".",".",".",".",".",".","."
"","003
400","231","3.252","29.0","22.9","30.3","10.8","3.0","3.5",".",".",".",".",".",".","0.4",".",".","."
"","400
010","43","3.500","39.5","37.2","18.6","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"Programming III","Course Total","655","3.315","32.2","25.6","28.9","7.3","2.1","2.7","0.8",".",".",".",".",".","0.3",".",".","."
"Introducing Comp Sci to K-12","402
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","46","2.848","28.3","13.0","23.9","13.0","8.7","4.3","8.7",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","72","3.014","22.2","18.1","26.4","12.5","16.7","1.4","1.4",".",".",".",".",".",".","1.4",".","."
"","475
001","19","3.000","26.3","10.5","36.8",".","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","475
002","18","3.083","50.0","5.6","16.7",".","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","475
003","22","2.909","31.8","9.1","22.7","9.1","18.2","4.5","4.5",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","59","2.992","35.6","8.5","25.4","3.4","18.6","5.1","3.4",".",".",".",".",".",".",".",".","."
"CS Education","502
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","61","3.770","68.9","21.3","6.6","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","002
506","60","3.675","71.7","15.0","3.3","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Software Engineering","Course Total","121","3.723","70.2","18.2","5.0","2.5","2.5","1.7",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","001
514","15","3.067","20.0","20.0","33.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"Wearable Technology","518
001","18","3.528","66.7","5.6","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","45","2.989","26.7","28.9","11.1","8.9","11.1","6.7","4.4",".","2.2",".",".",".",".",".",".","."
"Linear Optimization","525
001","29","3.086","34.5","6.9","24.1","17.2","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"","532
001","56","3.491","42.9","30.4","12.5","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","532
002","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","77","3.604","54.5","24.7","10.4","7.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Image Processing","001
533","19","3.556","36.8","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","537
001","306","3.621","48.7","31.0","13.4","4.2","1.0",".",".",".",".",".",".",".","1.6",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 221 of 467",""
