"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300
001","191","3.207","44.0","8.4","24.1","4.7","14.1","3.1","1.6",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","18","3.194","16.7","50.0","11.1","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Insurance Accounting","636
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","50","3.224","34.0","12.0","28.0","16.0","6.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Commercial Insurance","645
001","65","3.305","29.2","18.5","40.0","4.6","6.2",".",".","1.5",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650
001","38","3.592","36.8","44.7","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","38","3.145","26.3","18.4","23.7","26.3","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","655
002","15","3.400","20.0","46.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","Course Total","53","3.217","24.5","26.4","24.5","20.8","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","001
700","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
080","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","999
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","455","3.282","36.9","17.8","24.8","7.3","7.9","2.0","0.7","0.4",".",".",".","1.1","0.2",".","0.9","."
