"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"940","021","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","39","1.388","10.3",".","17.9",".",".",".",".","28.2",".",".",".",".",".",".",".","."
"950","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","011","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","13","0.800","7.7",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"957
Intro to Estate Planning","001","","11","1.273","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"990
Directed Research","124","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
