"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"990","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","137","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","139","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","140","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","141","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","37","",".",".",".",".",".",".",".","97.3",".",".",".","2.7",".",".",".","."
