"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","2014","3.192","42.1","12.3","18.7","6.4","9.8","3.5","0.9","3.6","",".","0.9","",".","1.0","0.3",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","77","2.469","22.1","9.1","16.9","11.7","19.5","15.6","5.2",".","",".",".","",".",".",".",".",".","."
"Sophomore","","347","2.985","24.5","13.8","27.4","10.4","17.9","4.9","0.9",".","",".",".","",".",".","0.3",".",".","."
"Junior","","510","3.183","36.3","13.5","25.3","8.2","10.4","4.3","0.4",".","",".","0.4","",".",".","1.0",".","0.2","."
"Senior","","913","3.363","54.1","13.0","14.6","3.9","7.0","2.1","0.9",".","",".","1.9","",".","2.3","0.1",".","0.1","."
"Undergraduates","","1847","3.182","42.3","13.2","20.0","6.7","10.5","3.8","0.9",".","",".","1.0","",".","1.1","0.4",".","0.1","."
"Special","","23","2.774","21.7","8.7","8.7","8.7","17.4","4.3","4.3","8.7","",".",".","",".",".",".",".","17.4","."
"Graduate","","142","3.763","43.0","1.4","2.8","2.8",".",".",".","50.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2014","3.192","42.1","12.3","18.7","6.4","9.8","3.5","0.9","3.6","",".","0.9","",".","1.0","0.3",".","0.3","."
