"","ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Introduction to Cryptography","435","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Systems I","436","001","36","3.333","33.3","33.3","16.7","11.1","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","35","3.273","25.7","31.4","14.3","20.0",".","2.9",".","5.7",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","34","3.691","58.8","20.6","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","20","3.125","15.0","30.0","35.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","489","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","491","047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","506","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Software Engineering","","Course Total","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Power Electronics Lab","512","001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","001","28","3.148","21.4","25.0","25.0","10.7","14.3",".",".",".",".",".",".",".","3.6",".",".","."
"","532","002","13","3.654","53.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","41","3.313","31.7","26.8","19.5","9.8","9.8",".",".",".",".",".",".",".","2.4",".",".","."
"Image Processing","533","001","29","3.857","72.4","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"Integrated Optics&Optoelect","536","001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Networks","537","001","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539","001","29","3.196","6.9","55.2","17.2","3.4","13.8",".",".",".",".",".",".",".",".","3.4",".","."
"Integrated Circuit Design","548","001","18","3.417","27.8","33.3","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","69","3.377","31.9","33.3","21.7","10.1","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","68","3.596","63.2","16.2","7.4","5.9","5.9","1.5",".",".",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553","001","33","3.288","30.3","15.2","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","79","3.253","26.6","22.8","32.9","12.7","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"Prob& InfoTheory in Mach Learn","561","001","20","3.500","35.0","25.0","25.0","5.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Grad Seminar in ECE","610","002","118","3.944","95.8","1.7",".","0.8",".",".","0.8",".",".",".",".",".",".",".",".","0.8"
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 128 of 467",""
