"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","360
006","18","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
007","17","3.588","23.5","70.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
008","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
360","19","3.605","36.8","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
011","18","3.611","38.9","50.0","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","360
013","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
014","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
015","16","3.594","50.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","360
016","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
017","18","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
360","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
019","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
020","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","360
021","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
023","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
024","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
026","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","027
360","19","3.632","31.6","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
028","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
029","15","3.400","33.3","53.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Workplace Communication","Course Total","400","3.659","44.5","45.5","8.3","1.0","0.3",".","0.3",".",".",".",".",".","0.3",".",".","."
"","001
365","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","656
010","64","3.734","54.7","37.5","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656
011","56","3.625","50.0","37.5","8.9","1.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"Machine Learning-BusAnalytics","Course Total","120","3.683","52.5","37.5","8.3","0.8",".",".","0.8",".",".",".",".",".",".",".",".","."
"","704
020","43","3.500","25.6","48.8","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
021","45","3.544","26.7","55.6","17.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data to Decisions","Course Total","88","3.523","26.1","52.3","21.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
001","50","3.560","34.0","44.0","22.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
010","49","3.724","49.0","46.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
011","49","3.755","55.1","40.8","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
050","46","3.511","28.3","47.8","21.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Business Data Visualization","Course Total","194","3.615","41.8","44.8","12.9","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"","730
010","51","3.853","78.4","17.6","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","730
011","58","3.793","65.5","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prescriptive Modeling & Opt","Course Total","109","3.821","71.6","22.9","4.6",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","740
001","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","740
010","54","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
011","60","3.733","55.0","36.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
