"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","3","***","","","","","","","","","","","","","","","",""
"249
Engr Principles-Biol Systms","001","","30","2.667","13.3","3.3","30.0","10.0","43.3",".",".",".",".",".",".",".",".",".",".","."
"270
Intro to Computer Aided Design","001","","38","3.342","47.4","26.3","7.9","10.5",".","2.6","5.3",".",".",".",".",".",".",".",".","."
"301
Land Information Management","001","","28","3.500","35.7","46.4","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".",".","."
"367","001","","66","3.469","40.9","24.2","24.2","4.5","4.5",".",".","1.5",".",".",".",".",".",".",".","."
"367","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","70","3.493","42.9","24.3","22.9","4.3","4.3",".",".","1.4",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","21","3.238","14.3","28.6","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"380
Data Science for Life Science","001","","21","3.714","71.4","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"461
Food&Bioprocessing Operations","001","","7","2.714","14.3","28.6","14.3",".","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"473
Water Mgmt Systems","001","","20","3.225","35.0","35.0","5.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","19","3.684","63.2","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","42","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Special Problems","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","60.6",".",".",".","39.4",".",".",".","."
