"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Junior","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Undergraduates","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Graduate","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".",".","",".",".",".",".","."
"Prof Yr 1","330","3.468","49.7","21.8","15.8","6.1","3.9","0.3",".","",".","",".",".",".","",".","2.1",".",".","0.3"
"Prof Yr 2","650","3.396","42.0","13.5","10.9","10.6","2.8","0.5","0.6","",".","",".","18.8","0.2","",".","0.2",".",".","."
"Prof Yr 3","502","3.647","67.3","16.3","11.2","3.2","1.4",".","0.2","",".","",".",".",".","",".","0.4",".",".","."
"Prof Yr 4","251","3.925","90.4","6.0","2.8",".","0.8",".",".","",".","",".",".",".","",".",".",".",".","."
"Professionals","1733","3.694","57.8","14.8","10.7","6.1","2.3","0.2","0.3","",".","",".","7.0","0.1","",".","0.6",".",".","0.1"
