"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
135","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
163","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
220","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","39","3.885","94.9","2.6",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","268
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","13","3.577","76.9","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","26","3.654","73.1","11.5","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","331
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","331
066","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Improvisation","Course Total","5","***","","","","","","","","","","","","","","","",""
"Practicum in Teaching Music","337
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","340
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Wind Ensemble","40
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural Study of Music","405
001","16","3.594","75.0","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","61","3.959","96.7","1.6",".",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Middle Ages","411
001","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","22","3.545","59.1","9.1","27.3",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","276","3.935","91.3","5.8","1.1","0.7","0.7",".",".","0.4",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","43
001","107","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
002","87","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","62","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","256","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
