"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","76","3.689","68.4","14.5","5.3","6.6",".","2.6",".",".",".",".",".",".","1.3","1.3",".","."
"121
Horticulture Colloquium","001","","31","4.000","87.1",".",".",".",".",".",".","12.9",".",".",".",".",".",".",".","."
"234
Ornamental Plants","001","","13","2.417",".",".","46.2",".","38.5","7.7",".","7.7",".",".",".",".",".",".",".","."
"261
Sustainable Turf Management","001","","36","3.052","33.3","8.3","19.4","5.6","5.6",".","8.3","19.4",".",".",".",".",".",".",".","."
"262
Turfgrass Management Lab","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"301
Human History of Plant&Science","001","","9","3.625","44.4","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"320
Environment of Hort Plants","001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"333
Survey Contr Envir Food Prod","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Plants and Human Wellbeing","001","","80","3.107","23.8","21.3","17.5","15.0","5.0","2.5","2.5","11.3",".",".",".",".",".",".",".","1.3"
"351
Plants&Human Wellbeing Compan","001","","19","3.368","47.4","42.1",".",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","25","3.180","40.0","4.0","24.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"376
Tropical Horticultural Systems","001","","29","3.914","89.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","14","3.167","28.6","21.4","14.3","7.1","7.1","7.1",".","14.3",".",".",".",".",".",".",".","."
"571","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"571","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.786","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Horticulture Teaching","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
