"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"West Intel&Rel Hist since 1500","209","001","","40","3.625","30.0","17.5","10.0","2.5",".",".",".","40.0",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","","40","3.742","62.5","10.0","2.5","2.5","5.0",".",".","17.5",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221","001","","73","3.405","12.3","9.6","2.7","2.7",".",".","1.4","71.2",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","","14","3.393","35.7","50.0","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Colonial Latin America","243","001","","18","3.625","38.9","11.1","11.1","5.6",".",".",".","33.3",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","29","3.593","72.4","6.9",".","6.9",".","3.4","3.4","6.9",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","","32","3.625","71.9","15.6","3.1","3.1",".","3.1","3.1",".",".",".",".",".",".",".",".","."
"American Legal History to 1860","261","001","","14","3.107","7.1","28.6","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBT History","275","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","37","3.548","16.2","32.4","5.4","2.7",".",".",".","43.2",".",".",".",".",".",".",".","."
"History at Work","300","001","","37","3.593","81.1",".","8.1",".","2.7",".","8.1",".",".",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","","74","3.644","48.6","24.3","12.2","1.4","2.7",".",".","10.8",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","","69","3.760","56.5","8.7",".","1.4",".","1.4","1.4","26.1",".",".",".",".","4.3",".",".","."
"Environmental History: Europe","328","001","","15","2.889","6.7","20.0","20.0","6.7",".",".","6.7","40.0",".",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340","002","","21","3.810","71.4","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural History of Korea","","Course Total","","39","3.872","79.5","17.9",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Modern China,1800-1949","341","001","","30","3.611","36.7","43.3","6.7",".","3.3",".",".","10.0",".",".",".",".",".",".",".","."
"Military Hist-United States","345","001","","77","3.177","20.8","20.8","10.4","1.3","3.9",".","5.2","31.2",".",".",".",".","5.2","1.3",".","."
"The Caribbean & its Diasporas","347","001","","21","3.625","57.1","9.5","23.8","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"The Second World War","357","001","","68","3.358","41.2","25.0","19.1","7.4","1.5",".","4.4",".",".",".",".",".","1.5",".",".","."
"The Anglo-Saxons","360","001","","9","3.250","11.1","44.4","22.2",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"From Fascism to Today","366","002","","64","3.775","46.9","7.8","3.1","4.7",".",".",".","37.5",".",".",".",".",".",".",".","."
"Islam and Politics","370","001","","18","3.500","22.2","27.8","22.2",".",".",".",".","22.2",".",".",".",".","5.6",".",".","."
"UGRD History Symposium","400","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public History Workshop","","Course Total","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-American Education","412","001","","33","3.727","57.6","36.4","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Soviet Union & World,1917-1991","424","001","","57","3.721","54.4","24.6","10.5","1.8",".",".",".",".",".",".",".",".","8.8",".",".","."
"Amer Foreign Rel-1901 on","434","001","","41","3.550","56.1","24.4","7.3","4.9",".","2.4","2.4",".",".",".",".",".","2.4",".",".","."
"Amer Environmental History","460","001","","27","3.786","55.6","14.8","3.7","3.7",".",".",".","22.2",".",".",".",".",".",".",".","."
"Medieval Law and Society","476","001","","32","3.761","59.4","9.4",".",".",".",".","3.1","28.1",".",".",".",".",".",".",".","."
"American Indian History","490","001","","18","3.833","50.0","11.1","5.6",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","500","002","","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","7.7"
"","500","003","","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","500","004","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 260 of 467",""
