"Introductory Old Norse","407
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Medieval Romance","425
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Celtic-Scand Cultrl Interrelat","446
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","51","3.410","43.1","31.4","11.8","5.9","",".","2.0","3.9","",".","",".",".","",".","",".","2.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","","10","3.150","50.0",".","30.0","10.0","",".",".","10.0","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","12","3.375","41.7","41.7","8.3",".","",".",".","8.3","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","27","3.500","40.7","37.0","7.4","7.4","",".","3.7",".","",".","",".",".","",".","",".","3.7",".",".","."
"Undergraduates","","","50","3.408","44.0","30.0","12.0","6.0","",".","2.0","4.0","",".","",".",".","",".","",".","2.0",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","51","3.410","43.1","31.4","11.8","5.9","",".","2.0","3.9","",".","",".",".","",".","",".","2.0",".",".","."
