"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","195","3.216","30.8","20.5","25.6","11.3","10.3","1.5",".",".","",".",".","",".",".",".",".",".","."
"Junior","322","3.321","40.7","18.3","26.1","6.5","5.9","0.9","1.2",".","",".",".","",".",".",".",".","0.3","."
"Senior","539","3.327","40.4","15.4","27.5","6.9","7.4","0.9","0.6",".","",".",".","",".","0.2","0.4",".","0.4","."
"Undergraduates","1059","3.300","38.6","17.3","26.6","7.6","7.6","1.0","0.7",".","",".",".","",".","0.1","0.2",".","0.3","."
"Special","14","3.309","57.1",".","21.4","7.1",".",".","7.1","7.1","",".",".","",".",".",".",".",".","."
"Graduate","174","3.809","57.5","8.0","1.7","2.3",".",".",".","16.7","",".",".","",".","13.8",".",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","6","4.000","66.7",".",".",".",".",".",".","16.7","",".",".","",".","16.7",".",".",".","."
"Professionals","9","4.000","66.7",".",".",".",".",".",".","22.2","",".",".","",".","11.1",".",".",".","."
