"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Hip-Hop and Cont Am Society","154","001","180","3.636","61.1","18.9","8.3","7.2","1.7","0.6","0.6","1.1",".",".",".",".","0.6",".",".","."
"Black Music&Am Cultrl Hist","156","001","269","3.865","79.2","11.2","5.9",".",".",".","0.4","3.3",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","20","3.650","55.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","26","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Masterpieces of Afro Amer Lit","227","001","15","3.167","6.7","40.0","13.3","13.3","6.7",".",".","13.3",".",".",".",".","6.7",".",".","."
"Intro to Afro-Am History","231","001","84","3.731","79.8","3.6","4.8",".","3.6","2.4","1.2",".",".",".",".",".",".",".","4.8","."
"Global HipHop & Social Justice","233","001","13","3.308","23.1","61.5","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","25","3.625","60.0","4.0","12.0",".",".",".","4.0",".",".",".",".",".",".","20.0",".","."
"","271","001","31","3.966","90.3",".","3.2",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"","271","002","49","3.745","81.6","6.1","6.1",".","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"","271","003","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","109","3.846","84.4","6.4","4.6",".","1.8",".","0.9",".",".",".",".",".","1.8",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","48","3.881","81.3","4.2",".",".",".",".","2.1","10.4",".",".",".",".","2.1",".",".","."
"Sci, Med, & Race: A History","275","001","9","3.611","44.4","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Afro Asian Improv","319","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","13","3.115","30.8","7.7","38.5",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","338","001","21","3.950","90.5",".","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"The Caribbean & its Diasporas","347","001","12","3.583","58.3","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Afr Am Women's Activism 19-20C","624","001","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","7","3.200","14.3","14.3","28.6","14.3",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"","671","001","6","3.100","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".","16.7",".","."
"","671","002","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","","Course Total","15","3.393","73.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".","6.7",".","."
"Perspctv-Black Women Writng","677","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
