"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","150","3.303","31.3","30.7","20.0","10.0","4.7","3.3",".",".",".",".",".",".",".",".",".","."
"201
Anatomy & Physiology of Speech","001","","98","3.255","39.8","15.3","20.4","14.3","3.1","3.1","2.0",".",".",".",".",".","2.0",".",".","."
"202
Normal Aspects of Hearing","001","","88","3.420","48.9","18.2","15.9","5.7","8.0","1.1","1.1",".",".",".",".",".",".",".",".","1.1"
"240
Lang Devlp-Chld & Adolescnt","001","","127","3.500","59.1","8.7","18.1","3.1","6.3","3.1",".",".",".",".",".",".","1.6",".",".","."
"303
Speech Acoustics,Perception","001","","90","3.722","67.8","14.4","13.3","3.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"315
Phonetics and Phon. Dvlpt.","001","","98","3.643","57.1","23.5","11.2","7.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"320
Introduction to Audiology","001","","98","3.730","68.4","14.3","13.3","3.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"424
Sign Language I","001","","145","3.831","81.4","11.7","2.8","2.8","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"481
Undergraduate Junior Honors","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"503
Neurl Mech Speech,Hear&Lang","001","","58","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","39","3.988","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Lang&Learn Disordrs-Childrn","001","","38","4.000","97.4",".",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"706
Mgt&Assessmt-Voice Disorder","001","","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Fluency&Phonological Disorders","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","7","3.906","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"790","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","53","3.951","94.3","1.9",".",".",".","1.9",".",".",".",".",".",".","1.9",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","045","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 216 of 467",""
