"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","","14","3.464","42.9","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","","53","3.755","67.9","18.9","9.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","19","3.263","36.8","26.3","15.8","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"","211","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","211","003","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","","Course Total","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","","15","3.667","80.0","6.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","","12","3.182","33.3","16.7","33.3",".",".",".","8.3",".",".",".",".",".",".","8.3",".","."
"Sociology of Health & Medicine","343","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","7","3.625","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","28.6","14.3",".","."
"Stats for Sociologists II","361","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","001","","6","2.900",".","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".","."
"","475","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","11","3.250","27.3","27.3","9.1","18.2","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"Public Hlth-Rural & Urban Comm","533","001","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","9","3.125","33.3","22.2","22.2",".",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Rural Sociology","945","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Environmental Sociol","948","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Rsch: Methodology Trainees","995","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
