"","999
085","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
092","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
096","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","16","3.871","87.5","12.5",".",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"NURSING
692","Dept. Total","2361","3.626","48.4","19.2","9.3","2.9","0.8","0.1","",".","1.4","",".","16.6","0.0","0.9","0.1","0.0",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","74","3.685","63.5","23.0","5.4","1.4","4.1","1.4","",".",".","",".",".",".",".",".","1.4",".","."
"Sophomore","","40","3.797","80.0","12.5","2.5","2.5",".","2.5","",".",".","",".",".",".",".",".",".",".","."
"Junior","","477","3.546","39.6","23.5","11.7","5.5","1.0","0.2","",".",".","",".","18.4",".",".",".",".",".","."
"Senior","","1303","3.539","40.6","19.3","11.0","3.1","0.9",".","",".",".","",".","23.3","0.1","1.5",".",".",".","."
"Undergraduates","","1894","3.551","42.1","20.3","10.8","3.6","1.1","0.2","",".",".","",".","20.7","0.1","1.1",".","0.1",".","."
"Special","","18","3.809","66.7","33.3",".",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","","448","3.884","74.1","13.8","3.3",".",".",".","",".","7.4","",".",".",".","0.4","0.7",".",".","0.2"
"Prof Yr 2","","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","2361","3.626","48.4","19.2","9.3","2.9","0.8","0.1","",".","1.4","",".","16.6","0.0","0.9","0.1","0.0",".","0.0"
