"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"Int. English Language Skills","114
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
004","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Grammar for Academic Use","Course Total","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","16","",".",".",".",".",".",".",".",".",".","75.0","18.8",".",".","6.3",".","."
"","116
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
004","15","",".",".",".",".",".",".",".",".",".","73.3","26.7",".",".",".",".","."
"","116
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
006","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","116
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
010","16","",".",".",".",".",".",".",".",".",".","87.5","6.3",".",".",".",".","."
"","116
012","15","",".",".",".",".",".",".",".",".",".","80.0","13.3",".",".","6.7",".","."
"","116
013","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"","116
014","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"","116
015","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","187","",".",".",".",".",".",".",".",".",".","89.3","9.1",".",".","1.1",".","."
"","117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
006","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
010","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","117
011","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
013","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
019","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
020","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"Academic Writing I","Course Total","180","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"","118
001","15","3.133","40.0","33.3","6.7","6.7",".",".","13.3",".",".",".",".",".",".",".",".","."
"","118
003","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","118
008","16","3.531","62.5","18.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","118
009","15","3.393","73.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".","6.7",".","."
"","011
118","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
012","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
013","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
016","15","3.733","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","118
021","14","3.577","57.1","21.4",".",".","14.3",".",".",".",".",".",".",".",".",".","7.1","."
"Academic Writing II","Course Total","150","3.679","76.7","10.0","4.7","1.3","2.0",".","4.0",".",".",".",".",".",".","0.7","0.7","."
