"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"325
Topics in Dutch Literature","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","001","","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"351
Intro to German Linguistics","001","","20","3.500","50.0","25.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"372","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","002","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","31","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
1st Sem German for Grad Stdts","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","4","***","","","","","","","","","","","","","","","",""
"403
3rd Sem German for Grad Stdts","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"404
4th Sem German for Grad Stdts","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Letterkunde der Lage Landen","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"720
College Teaching of German","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Theory of Teaching German","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Pract-Teach Undergrad Ling","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Old Germanic Languages","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"758
Topics-Contemporary German","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"804
Interdis W Europ Studies Sm","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"947
Seminar-German Lit & Culture","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"960
Seminar-German Linguistics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","2","***","","","","","","","","","","","","","","","",""
