"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","112
001","54","2.435","20.4","9.3","7.4","11.1","31.5","16.7","3.7",".",".",".",".",".",".",".",".","."
"","112
002","60","2.667","16.7","20.0","15.0","10.0","26.7","6.7","5.0",".",".",".",".",".",".",".",".","."
"","003
112","59","2.644","23.7","13.6","11.9","10.2","25.4","10.2","5.1",".",".",".",".",".",".",".",".","."
"","112
004","55","2.726","20.0","10.9","16.4","20.0","20.0","5.5","3.6",".",".",".",".",".","3.6",".",".","."
"","112
005","60","2.550","8.3","16.7","20.0","13.3","30.0","10.0","1.7",".",".",".",".",".",".",".",".","."
"","006
112","59","2.492","8.5","16.9","16.9","10.2","33.9","11.9","1.7",".",".",".",".",".",".",".",".","."
"","112
007","60","2.585","15.0","11.7","16.7","13.3","28.3","13.3",".",".",".",".",".",".","1.7",".",".","."
"","008
112","58","2.819","29.3","5.2","17.2","13.8","29.3","1.7","3.4",".",".",".",".",".",".",".",".","."
"","112
009","52","2.356","7.7","13.5","13.5","7.7","44.2","9.6","3.8",".",".",".",".",".",".",".",".","."
"","112
010","56","2.580","14.3","21.4","10.7","19.6","17.9","8.9","7.1",".",".",".",".",".",".",".",".","."
"","112
011","102","2.554","14.7","11.8","20.6","10.8","27.5","11.8","2.9",".",".",".",".",".",".",".",".","."
"","112
013","53","2.292","7.5","11.3","20.8","17.0","18.9","17.0","7.5",".",".",".",".",".",".",".",".","."
"","112
014","40","2.213","7.5","12.5","7.5","15.0","37.5","12.5","7.5",".",".",".",".",".",".",".",".","."
"","112
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Algebra","Course Total","771","2.542","15.0","13.4","15.4","13.1","28.3","10.4","3.9",".",".",".",".",".","0.4",".","0.1","."
"","113
001","53","3.019","39.6","13.2","9.4","5.7","18.9","11.3",".",".",".",".",".",".","1.9",".",".","."
"","113
002","54","3.094","37.0","11.1","18.5","11.1","14.8","3.7","1.9",".",".",".",".",".","1.9",".",".","."
"","113
003","56","2.973","33.9","8.9","16.1","14.3","19.6","7.1",".",".",".",".",".",".",".",".",".","."
"","113
004","53","2.962","32.1","18.9","5.7","7.5","26.4","7.5",".",".",".",".",".",".","1.9",".",".","."
"","113
005","56","2.866","32.1","17.9","5.4","8.9","23.2","10.7","1.8",".",".",".",".",".",".",".",".","."
"","113
006","52","2.971","36.5","13.5","13.5","11.5","13.5","7.7","3.8",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","324","2.980","35.2","13.9","11.4","9.9","19.4","8.0","1.2",".",".",".",".",".","0.9",".",".","."
"","114
001","229","2.833","25.3","19.2","21.0","7.0","13.1","5.7","7.9",".",".",".",".",".","0.9",".",".","."
"","114
002","235","2.737","17.0","18.3","26.4","9.8","12.3","9.8","5.1",".",".",".",".",".","1.3",".",".","."
"Algebra and Trigonometry","Course Total","464","2.784","21.1","18.8","23.7","8.4","12.7","7.8","6.5",".",".",".",".",".","1.1",".",".","."
"Prob Solvng: Alg, Prob & Stats","132
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","102","3.460","47.1","15.7","30.4","1.0","1.0","3.9",".",".",".",".",".",".","1.0",".",".","."
"Calc with Algebra & Trig I","171
001","310","2.655","25.2","7.1","24.8","6.1","18.7","11.9","5.8",".",".",".",".",".","0.3",".",".","."
"","211
001","203","2.938","23.6","16.3","23.6","6.9","24.6","3.4","1.0",".",".",".",".",".","0.5",".",".","."
"","211
002","196","2.843","23.5","11.2","21.4","13.8","22.4","4.6","2.0",".",".",".",".",".","1.0",".",".","."
"","211
003","160","2.918","22.5","14.4","26.3","8.1","23.8","3.1","1.3",".",".",".",".",".","0.6",".",".","."
"Calculus","Course Total","559","2.899","23.3","14.0","23.6","9.7","23.6","3.8","1.4",".",".",".",".",".","0.7",".",".","."
"Calc/Intro-Differntl Equats","213
001","164","3.377","47.0","12.2","14.6","19.5","4.9","0.6",".",".",".",".",".",".","1.2",".",".","."
"","221
001","282","2.756","24.8","8.2","28.0","3.9","21.6","7.8","4.6",".",".",".",".",".","1.1",".",".","."
"","221
002","257","2.868","29.2","10.1","26.8","2.3","19.1","10.1","2.3",".",".",".",".",".",".",".",".","."
"","221
003","266","2.843","30.5","7.9","22.9","6.8","19.5","7.9","3.8",".",".",".",".",".","0.8",".",".","."
"","221
004","232","2.845","26.7","8.6","28.4","5.2","20.3","8.6","2.2",".",".",".",".",".",".",".",".","."
"","221
005","282","2.775","24.8","8.2","29.8","6.4","18.4","7.4","5.0",".",".",".",".",".",".",".",".","."
"","221
006","303","2.944","31.4","9.9","27.1","4.0","17.8","6.6","3.0",".",".",".",".",".","0.3",".",".","."
"","007
221","266","2.879","25.2","12.4","28.2","7.9","15.4","6.4","3.8",".",".",".",".",".","0.8",".",".","."
"Calculus&Analytic Geometry 1","Course Total","1888","2.845","27.5","9.3","27.3","5.2","18.9","7.8","3.5",".",".",".",".",".","0.4",".",".","."
"","222
001","227","2.709","23.8","6.2","18.1","8.4","22.5","11.5","1.3",".",".",".",".",".","8.4",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 293 of 467",""
