"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","272","2.683","22.1","8.5","23.5","7.7","23.5","9.6","3.7",".",".",".",".",".","1.5",".",".","."
"","002
101","273","2.686","20.5","9.5","25.3","9.2","19.0","12.5","2.6",".",".",".",".",".","1.5",".",".","."
"Animal Biology","Course Total","545","2.684","21.3","9.0","24.4","8.4","21.3","11.0","3.1",".",".",".",".",".","1.5",".",".","."
"","102
001","15","3.533","53.3","13.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
102","12","3.208","41.7",".","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
003","10","3.050","10.0","20.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","10","2.800","10.0","20.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","006
102","17","3.206","23.5","23.5","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
008","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","10","3.050","20.0","10.0","50.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","011
102","11","3.136","27.3","18.2","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
013","12","3.083","8.3","41.7","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
014","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","13","3.077","30.8","15.4","38.5",".",".","15.4",".",".",".",".",".",".",".",".",".","."
"","102
016","11","3.045","9.1","27.3","45.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
017","13","3.385","38.5","30.8","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
018","10","2.800","20.0",".","30.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","102
019","11","2.591","9.1","9.1","36.4","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"","102
020","12","3.167","25.0","25.0","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","200","3.198","30.0","19.5","28.5","9.0","10.5","2.5",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","38","3.158","31.6","7.9","39.5","7.9","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"","001
151","328","3.232","38.1","10.1","32.9","4.0","12.8","1.2","0.9",".",".",".",".",".",".",".",".","."
"","151
002","335","3.201","33.7","10.4","38.2","3.6","11.3","2.4","0.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","663","3.216","35.9","10.3","35.6","3.8","12.1","1.8","0.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","344","3.364","43.3","12.2","29.7","4.4","7.0","1.7","0.3",".",".",".",".",".","1.5",".",".","."
"Directed Studies","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375
001","8","3.125","62.5",".","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","522
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","5","***","","","","","","","","","","","","","","","",""
"","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
