"First Semester Hebrew","101
001","","12","3.875","83.3","8.3","8.3",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Third Semester Hebrew","201
001","","11","3.909","81.8","18.2",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Hebrew Literature","301
001","","8","3.500","50.0","25.0","12.5",".","","12.5","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"HEBR-MOD
442","Dept. Total","","31","3.810","74.2","16.1","6.5","",".","3.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","13","3.786","69.2","15.4","15.4","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","7","3.870","71.4","28.6",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","27","3.843","74.1","18.5","7.4","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","31","3.810","74.2","16.1","6.5","",".","3.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
