"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","170
001","119","3.819","73.9","21.8","2.5","0.8",".",".","0.8",".",".",".",".",".",".",".",".","."
"","002
170","165","3.861","84.2","9.1","4.2","0.6","1.2","0.6",".",".",".",".",".",".",".",".",".","."
"Design Practicum","Course Total","284","3.843","79.9","14.4","3.5","0.7","0.7","0.4","0.4",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","303
001","21","3.850","90.5",".",".",".",".","4.8",".",".",".",".",".",".","4.8",".",".","."
"","397
001","25","3.520","36.0","40.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.295","31.8","31.8","22.7","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"","397
003","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","22","3.818","77.3","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
005","25","3.340","16.0","48.0","28.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","397
007","27","3.389","22.2","37.0","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","24","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","26","3.442","34.6","23.1","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","011
397","21","3.667","47.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","27","3.660","40.7","44.4","3.7","3.7",".",".",".",".",".",".",".",".","7.4",".",".","."
"","397
014","20","3.450","30.0","60.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","397
015","20","3.300","5.0","60.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","19","3.421","26.3","31.6","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","20","3.550","25.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
018","22","3.886","90.9","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
019","18","3.611","44.4","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
020","18","3.333","5.6","61.1","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","378","3.531","37.0","39.4","18.5","3.2","0.8",".","0.5",".",".",".",".",".","0.5",".",".","."
"Current Issues in Intl Engr","413
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","16","3.889","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
