"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Intro to Animal Sciences","001","","9","3.167","33.3","11.1","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"102","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Animal Sciences Lab","Course Total","","5","***","","","","","","","","","","","","","","","",""
"233
Dairy Herd Management I","001","","17","3.588","47.1","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.968","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","13","3.900","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"378
Lactation Physiology","001","","14","3.308","21.4","35.7","14.3","21.4",".",".",".","7.1",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","024","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutr & Metab","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"824
Ruminant Nutr Phys I","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","032","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 17 of 467"
