"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","94","3.665","58.5","27.7","9.6","1.1","1.1","2.1",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","61","2.975","21.3","19.7","23.0","11.5","18.0","4.9",".",".",".",".",".",".","1.6",".",".","."
"Intro to Chem Process Modeling","255","001","","23","3.000","30.4","17.4","13.0","17.4","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","36","2.944","11.1","19.4","33.3","25.0","8.3","2.8",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","58","3.009","20.7","22.4","20.7","20.7","8.6","3.4","1.7",".",".",".",".",".","1.7",".",".","."
"Intro Transport Phenomena","320","001","","76","3.145","25.0","10.5","51.3",".","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"","324","001","","15","3.467","53.3","6.7","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","15","3.467","46.7","13.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","13","3.423","46.2","7.7","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","11","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","54","3.463","48.1","13.0","24.1","13.0","1.9",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","42","3.085","31.0","9.5","26.2","7.1","23.8",".",".",".",".",".",".",".","2.4",".",".","."
"Mass Transfer Operations","426","001","","80","3.127","23.8","20.0","21.3","25.0","8.8",".",".",".",".",".",".",".","1.3",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","77","3.187","27.3","18.2","29.9","13.0","6.5","2.6",".",".",".",".",".",".","2.6",".",".","."
"Chemical Engineering Matl","440","001","","15","2.833","20.0","20.0","26.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","33","3.394","33.3","27.3","33.3","3.0",".","3.0",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","43","3.384","23.3","46.5","16.3","11.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","20","3.475","40.0","30.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","45","3.878","84.4","6.7","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","32","3.734","62.5","21.9","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","004","","43","3.631","48.8","30.2","14.0","4.7",".",".",".",".",".",".",".",".","2.3",".",".","."
"","562","005","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","562","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","147","3.757","58.5","15.6","10.2","1.4",".",".",".","13.6",".",".",".",".","0.7",".",".","."
"Solar Energy Technology","567","001","","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","024","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 119 of 467",""
