"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Wkshp-Ed Leadrshp & Plcy Anlys","502","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Law and Public Education","542","001","","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","700","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701","002","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","","Course Total","","32","3.891","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","16","3.833","68.8","18.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Coaching 1: Everyday Practices","750","001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lead and Justice in Sports","751","001","","44","3.988","90.9","2.3",".",".",".",".",".",".",".",".",".",".","6.8",".",".","."
"Sports Leadership Road Course","754","001","","32","3.984","93.8","3.1",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Issues in Educ Policy Analysis","765","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPE Capstone Seminar","777","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Inquiry","810","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822","002","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Surveys/Quant Data Collection","827","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadershp-Inclusive Schling","835","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public School Law","840","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Foundations of Spec Ed","842","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","845","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","845","002","","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"School-Level Leadership","","Course Total","","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","863","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","863","002","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race Class & Ed Inequality","","Course Total","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","875","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","","Course Total","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"The American Community College","878","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internationalization Higher Ed","886","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","","Page 92 of 467"
