"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"103
Agroecology of Food and Ag","002","","31","3.333","22.6","35.5","29.0","3.2","6.5",".",".",".",".",".",".",".",".",".","3.2","."
"201","001","","62","3.774","67.7","27.4","1.6","1.6",".","1.6",".",".",".",".",".",".",".",".",".","."
"201","002","","71","3.754","69.0","23.9","2.8",".","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"201","003","","68","3.795","64.7","27.9","2.9",".","1.5",".",".","1.5",".",".",".",".",".","1.5",".","."
"Insects and Human Culture","Course Total","","201","3.774","67.2","26.4","2.5","0.5","1.5","1.0",".","0.5",".",".",".",".",".","0.5",".","."
"203
Introduction to Global Health","001","","96","3.906","87.5","7.3","4.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"205
Our Planet, Our Health","001","","296","3.809","76.7","9.8","7.8",".","1.7","0.3","0.3",".",".",".",".",".",".",".","3.4","."
"299","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","36","3.324","38.9","22.2","19.4","5.6","2.8","2.8","2.8","2.8",".",".",".",".",".","2.8",".","."
"351
Principles-Econ Entomology","001","","27","3.556","66.7","7.4","7.4","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"375","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","22","3.962","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.859","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Advanced Taxonomy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"901
Seminar: Organismal Entomol","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","19","",".",".",".",".",".",".",".","57.9","5.3",".",".","36.8",".",".",".","."
