"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"GNS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","5","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","14","3.418","57.1","14.3","14.3","7.1","",".","",".","7.1",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","11","3.643","54.5","27.3","18.2",".","",".","",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total
26","3.512","53.8","19.2","15.4","3.8","",".","",".","3.8","3.8","",".",".",".",".",".",".",".","."
