"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","364","3.059","28.6","11.3","22.5","11.0","11.5","3.8","1.4","2.7",".",".",".",".","7.1",".",".","."
"Intro to Comparative Politics","120","001","170","3.063","25.9","24.1","18.8","14.1","10.0","1.2","4.1",".",".",".",".",".","1.2",".","0.6","."
"Intro-Internatl Relations","140","001","366","3.538","48.1","27.6","12.8","4.4","3.6","0.5","0.8","1.4",".",".",".",".","0.5",".",".","0.3"
"Intro to Political Theory","160","001","186","3.577","49.5","32.3","10.8","2.7","0.5","1.1","1.6",".",".",".",".",".","1.6",".",".","."
"Research Methods in Poli Sci","170","001","87","3.224","28.7","35.6","11.5","11.5","6.9","5.7",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","001","15","3.100","26.7","26.7","13.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","42","2.869","7.1","23.8","50.0","2.4","4.8","9.5","2.4",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","42","3.821","83.3","11.9","2.4",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","272","001","38","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","21","3.524","38.1","47.6","9.5",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","305","001","100","3.374","24.0","36.0","26.0","5.0","4.0",".",".","5.0",".",".",".",".",".",".",".","."
"United States Congress","311","001","48","2.969","20.8","12.5","37.5","10.4","14.6","2.1","2.1",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","61","4.000","98.4",".",".",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Middle East Politics","320","002","48","3.678","47.9","35.4","8.3",".","2.1",".",".",".",".",".",".",".","6.3",".",".","."
"African Politics","329","001","30","3.650","70.0","16.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Russian Politics","334","001","61","3.392","31.1","27.9","16.4","1.6","3.3","1.6","1.6","13.1",".",".",".",".",".","3.3",".","."
"Civil Military Paradox in US","338","001","44","3.786","75.0","6.8","9.1","2.3","2.3",".",".",".",".",".",".",".",".","4.5",".","."
"Analysis of Intl Relations","348","001","91","3.368","49.5","18.7","15.4","6.6","3.3","4.4","2.2",".",".",".",".",".",".",".",".","."
"Internat'l Political Economy","350","001","99","3.655","47.5","39.4","6.1","4.0","1.0",".",".","1.0",".",".",".",".","1.0",".",".","."
"Prin-International Law","356","001","102","3.540","38.2","41.2","11.8","4.9","2.9",".",".",".",".",".",".",".","1.0",".",".","."
"American Foreign Policy","359","001","53","3.857","69.8","18.9","3.8",".",".",".",".","7.5",".",".",".",".",".",".",".","."
"Machiavelli and His World","365","002","81","3.619","56.8","24.7","13.6","1.2",".",".","2.5",".",".",".",".",".","1.2",".",".","."
"Islam and Politics","370","001","43","3.393","23.3","39.5","27.9","4.7","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"","400","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","35","3.629","57.1","22.9","8.6","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"","400","005","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","006","87","3.476","46.0","28.7","11.5","2.3","2.3","2.3","2.3","4.6",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","208","3.671","67.8","18.3","6.3","2.9","1.0","1.0","1.0","1.9",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","401","002","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"State Gov & Public Policy","405","001","42","3.500","31.0","42.9","19.0","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"The American Presidency","408","001","51","3.141","25.5","11.8","33.3","5.9","11.8","2.0",".","7.8",".",".",".",".","2.0",".",".","."
"The American Constitution I","411","001","100","3.753","64.0","19.0","7.0","1.0","1.0","1.0",".","6.0",".",".",".",".",".","1.0",".","."
"Supreme Ct as Pol Instit","414","001","50","3.704","58.0","28.0","8.0","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Cmmnty Power&Grass Roots Pol","416","001","17","3.324","47.1","17.6","17.6",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","460","001","12","3.333","58.3",".","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 322 of 467",""
