"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"E P","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","20","2.655","5.0","30.0","35.0",".","15.0","10.0","5.0",".","",".",".","",".","",".",".",".",".","."
"Junior","","23","2.991","34.8","17.4","26.1","13.0",".","4.3","4.3",".","",".",".","",".","",".",".",".",".","."
"Senior","","35","3.800","68.6","11.4","2.9",".",".",".",".",".","",".",".","",".","",".","17.1",".",".","."
"Undergraduates","","80","3.101","42.5","17.5","18.8","3.8","3.8","3.8","2.5",".","",".",".","",".","",".","7.5",".",".","."
"Special","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","22","3.577","27.3","27.3","9.1","4.5",".",".",".","4.5","",".","22.7","",".","",".","4.5",".",".","."
"","Dept. Total","104","3.192","38.5","19.2","16.3","3.8","2.9","2.9","1.9","2.9","",".","4.8","",".","",".","6.7",".",".","."
