"EDU","","","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"ELPA
Dept. Total
305","605","3.960","81.8","4.1","0.8","0.3","",".","",".","",".","9.8","",".",".","",".","1.7","1.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","11","3.864","90.9",".",".","9.1","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","17","3.912","94.1",".",".","5.9","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","15","4.000","93.3",".",".",".","",".","",".","",".",".","",".",".","",".",".","6.7",".",".","."
"Graduate","569","3.960","81.0","4.4","0.9","0.2","",".","",".","",".","10.4","",".",".","",".","1.8","1.4",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Dept. Total","605","3.960","81.8","4.1","0.8","0.3","",".","",".","",".","9.8","",".",".","",".","1.7","1.5",".",".","."
