"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","5651","3.230","32.4","23.8","21.9","10.6","7.2","2.1","0.9","0.1","",".","0.1","",".","0.0","0.5","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","970","3.294","32.9","28.6","19.9","8.7","7.2","2.2","0.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","","1439","3.171","29.4","21.5","22.6","14.4","9.0","2.4","0.7",".","",".",".","",".",".","0.1",".",".","."
"Junior","","1122","3.039","21.8","23.3","24.9","14.9","9.4","3.1","2.1",".","",".",".","",".",".","0.4","0.2",".","."
"Senior","","1126","3.164","28.4","24.0","22.3","11.6","8.9","2.4","1.2",".","",".","0.3","",".","0.2","0.6","0.2",".","."
"Undergraduates","","4657","3.164","28.1","24.0","22.5","12.6","8.7","2.5","1.1",".","",".","0.1","",".","0.0","0.3","0.1",".","."
"Special","","76","3.371","42.1","18.4","18.4","7.9","5.3","2.6",".","2.6","",".",".","",".",".",".",".","2.6","."
"Graduate","","918","3.664","53.6","23.4","18.8","0.7","0.1","0.1",".","0.3","",".",".","",".",".","1.7","0.5","0.7","."
"","Dept. Total","5651","3.230","32.4","23.8","21.9","10.6","7.2","2.1","0.9","0.1","",".","0.1","",".","0.0","0.5","0.2","0.1","."
