"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323
002
Art in Elementary Education","","12","3.292","16.7","50.0","16.7","8.3","8.3","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"324
001
Art in Secondary Education","","12","3.375","33.3","25.0","25.0","16.7",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"470
001
Practicum in Elem School Art","","12","3.792","83.3",".","8.3","8.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"493
001
Practicum-Secondary School Art","","12","3.833","83.3","8.3",".","8.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"699
045
Independent Reading & Rsch","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ART ED
Dept. Total
176","","50","3.579","56.0","20.0","12.0","10.0","2.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","46","3.552","54.3","19.6","13.0","10.9","2.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","46","3.552","54.3","19.6","13.0","10.9","2.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","","50","3.579","56.0","20.0","12.0","10.0","2.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
