"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills Undergrads","111
001","120","3.825","85.0","8.3","2.5","1.7",".","1.7","0.8",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","118","3.573","43.2","33.1","17.8","3.4",".","0.8",".","1.7",".",".",".",".",".",".",".","."
"","201
001","93","3.661","69.9","12.9","6.5","3.2","6.5","1.1",".",".",".",".",".",".",".",".",".","."
"","002
201","49","3.643","44.9","42.9","8.2","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
201","48","3.833","79.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Insights","Course Total","190","3.700","65.8","20.5","6.3","3.7","3.2","0.5",".",".",".",".",".",".",".",".",".","."
"","250
001","134","3.720","68.7","14.9","12.7","2.2","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","250
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Retail Leadership Symposium","Course Total","137","3.722","67.9","14.6","12.4","2.2","0.7",".","0.7","1.5",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","111","3.658","76.6","8.1","5.4","2.7","3.6","0.9","2.7",".",".",".",".",".",".",".",".","."
"","257
001","116","3.635","56.9","26.7","6.0","6.0","2.6","0.9",".",".",".",".",".",".","0.9",".",".","."
"","257
003","122","3.705","70.5","16.4","9.8",".","0.8",".","2.5",".",".",".",".",".",".",".",".","."
"Introduction to Retail","Course Total","238","3.671","63.9","21.4","8.0","2.9","1.7","0.4","1.3",".",".",".",".",".","0.4",".",".","."
"Finances & Families","001
273","41","3.610","56.1","29.3","7.3","4.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"","275
001","85","3.441","30.6","36.5","25.9","4.7","2.4",".",".",".",".",".",".",".",".",".",".","."
"","275
002","98","3.760","59.2","35.7","3.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","96","3.615","50.0","33.3","9.4","4.2","3.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","279","3.613","47.3","35.1","12.2","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Consumer Analytics","301
001","44","3.409","27.3","52.3","13.6","2.3",".","2.3","2.3",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","321
001","188","3.860","83.5","9.0","2.7","1.6","2.1",".",".","1.1",".",".",".",".",".",".",".","."
"Financial Assets & Capability","340
001","47","3.798","87.2","4.3","2.1","2.1","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Financial Coaching","355
001","58","3.698","58.6","31.0","3.4","5.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"","477
001","42","3.262","11.9","52.4","19.0","9.5","7.1",".",".",".",".",".",".",".",".",".",".","."
"","477
002","41","3.159","7.3","43.9","34.1","7.3","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","83","3.211","9.6","48.2","26.5","8.4","6.0","1.2",".",".",".",".",".",".",".",".",".","."
"","555
001","77","3.724","58.4","28.6","9.1","2.6",".",".",".",".",".",".",".",".","1.3",".",".","."
"","002
555","80","3.825","68.8","28.8","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","157","3.776","63.7","28.7","5.1","1.9",".",".",".",".",".",".",".",".","0.6",".",".","."
"Consumer Engagement Strategies","561
001","45","3.611","64.4","13.3","8.9","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","47","3.606","53.2","29.8","8.5","2.1","6.4",".",".",".",".",".",".",".",".",".",".","."
"","564
001","49","3.327","40.8","20.4","16.3","16.3","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"","002
564","49","3.459","44.9","28.6","16.3","2.0","4.1","4.1",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","98","3.393","42.9","24.5","16.3","9.2","4.1","2.0","1.0",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","55","3.945","89.1","10.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
015","39","3.821","82.1","7.7","2.6","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","35","3.300","20.0","45.7","20.0","8.6","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","627
002","35","3.229","31.4","28.6","11.4","17.1","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"","627
003","34","2.956","20.6","14.7","20.6","29.4","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","104","3.163","24.0","29.8","17.3","18.3","7.7","2.9",".",".",".",".",".",".",".",".",".","."
