"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","73","3.007","23.3","19.2","28.8","9.6","12.3","5.5","1.4",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","","48","3.448","60.4","4.2","18.8","6.3","8.3",".","2.1",".",".",".",".",".",".",".",".","."
"Career Development","267","001","","30","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Internatl Ag Economy","319","001","","45","3.211","17.8","35.6","26.7","11.1","8.9",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Systems Mgmt","320","001","","31","3.081","25.8","19.4","22.6","9.7","22.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","","95","3.600","56.8","29.5","5.3","2.1","3.2","2.1","1.1",".",".",".",".",".",".",".",".","."
"Global Health: Econ & Policy","352","001","","90","3.139","30.0","20.0","21.1","14.4","11.1","2.2","1.1",".",".",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","","21","3.382","33.3","9.5","28.6","4.8","4.8",".",".","4.8",".",".",".",".","14.3",".",".","."
"Special Topics","375","003","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","","23","3.261","39.1","21.7","13.0","4.3","21.7",".",".",".",".",".",".",".",".",".",".","."
"Food Systems & Supply Chains","422","001","","20","2.675","10.0","10.0","30.0","25.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","","16","3.433","37.5","25.0","12.5","18.8",".",".",".",".",".",".",".",".",".",".","6.3","."
"Applied Microeconomic Thry","635","001","","22","3.250","22.7","27.3","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal I","636","001","","32","3.484","40.6","15.6","37.5","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Senior Thesis","691","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","699","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Quant & Applied Econ","720","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning Ap Econ Anlys","722","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Development Sem","723","001","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Pract for Applied Economists","724","001","","7","3.667","28.6",".","14.3",".",".",".",".",".",".",".",".",".","57.1",".",".","."
"Applied Econometric Analysis 3","737","001","","24","3.625","29.2","66.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir & Resource Econ 1","760","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","105","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","32","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
