"","999
076","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
078","3","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
080","5","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","083
999","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","14.3"
"Independent Study","Course Total","120","3.995","97.5","0.8",".",".",".",".",".",".",".",".","",".","",".","0.8",".",".","0.8"
"ART
168","Dept. Total","2399","3.831","83.9","7.4","2.9","0.9","1.6","0.7","0.8","0.8","0.1",".","",".","",".","0.9","0.0",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","303","3.761","76.9","9.6","7.6","2.3","1.3","0.7","1.0",".",".",".","",".","",".","0.7",".",".","."
"Sophomore","","479","3.828","85.4","8.6","2.1","0.2","1.0","0.8","1.5",".",".",".","",".","",".","0.4",".",".","."
"Junior","","573","3.833","85.2","6.5","3.0","1.0","2.4","0.9","0.3","0.2","0.2",".","",".","",".","0.3",".",".","."
"Senior","","732","3.825","82.5","8.7","2.2","1.0","2.0","0.8","0.8","0.3",".",".","",".","",".","1.5","0.1",".","."
"Undergraduates","","2087","3.820","83.1","8.2","3.2","1.0","1.8","0.8","0.9","0.1","0.0",".","",".","",".","0.8","0.0",".","."
"Special","","40","3.714","47.5","2.5",".",".","2.5",".","2.5","42.5","2.5",".","",".","",".",".",".",".","."
"Graduate","","272","3.972","95.2","1.8","1.1",".",".",".",".",".",".",".","",".","",".","1.5",".",".","0.4"
"","Dept. Total","2399","3.831","83.9","7.4","2.9","0.9","1.6","0.7","0.8","0.8","0.1",".","",".","",".","0.9","0.0",".","0.0"
