"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","140","3.711","65.0","24.3","5.7","2.1","1.4","0.7","0.7",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","131","3.546","57.3","19.1","12.2","3.8","3.1","3.8",".","0.8",".",".",".",".",".",".",".","."
"","202
001","344","2.924","17.7","23.0","19.8","20.1","13.1","4.7","1.5",".",".",".",".",".","0.3",".",".","."
"","002
202","256","2.759","15.6","18.4","20.3","17.2","18.8","6.6","2.7",".",".",".",".",".","0.4",".",".","."
"","202
003","238","3.752","81.5","7.6","3.8","2.5","2.1","0.8","1.7",".",".",".",".",".",".",".",".","."
"","004
202","358","2.557","15.4","12.3","23.2","16.2","14.0","12.6","6.1",".",".",".",".",".",".",".","0.3","."
"","202
005","374","2.710","17.9","16.8","21.1","15.8","12.0","12.0","3.7",".",".",".",".",".","0.5",".",".","."
"","202
006","251","2.962","21.1","19.5","25.1","15.1","10.4","4.8","2.4",".",".",".",".",".","1.2",".",".","0.4"
"","202
007","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
009","376","3.647","68.4","11.7","3.5","3.2","3.2","1.3","2.1","6.4",".",".",".",".","0.3",".",".","."
"","202
010","22","2.295","13.6","4.5","13.6","18.2","36.4",".","13.6",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","2244","3.023","33.3","15.6","16.5","12.9","10.7","6.3","3.1","1.1",".",".",".",".","0.4",".","0.0","0.0"
"","210
001","50","2.940","30.0","8.0","24.0","16.0","16.0","2.0","4.0",".",".",".",".",".",".",".",".","."
"","210
002","48","2.309","12.5","4.2","16.7","14.6","33.3","8.3","8.3",".",".",".",".",".","2.1",".",".","."
"","210
004","131","3.550","63.4","6.9","17.6","2.3","6.1","1.5","0.8",".",".",".",".",".","1.5",".",".","."
"","210
005","59","3.474","59.3","5.1","18.6","3.4","10.2","1.7",".",".",".",".",".",".","1.7",".",".","."
"Basic Stats for Psychology","Course Total","288","3.222","48.3","6.3","18.8","6.9","13.2","2.8","2.4",".",".",".",".",".","1.4",".",".","."
"","225
001","60","2.975","10.0","20.0","35.0","21.7","11.7",".",".",".",".",".",".",".",".","1.7",".","."
"","225
002","64","3.148","17.2","25.0","34.4","17.2","6.3",".",".",".",".",".",".",".",".",".",".","."
"","225
003","68","3.132","20.6","22.1","38.2","4.4","13.2","1.5",".",".",".",".",".",".",".",".",".","."
"","225
004","67","3.031","22.4","13.4","32.8","7.5","16.4","3.0",".",".",".",".",".",".","4.5",".",".","."
"Research Methods","Course Total","259","3.075","17.8","20.1","35.1","12.4","12.0","1.2",".",".",".",".",".",".","1.2","0.4",".","."
"Issues in Psychology","311
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","380
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology Law & Social Policy","401
001","193","3.310","37.3","28.0","14.0","7.8","8.8","3.1","0.5",".",".",".",".",".","0.5",".",".","."
"Psychology of Personality","403
001","315","3.257","31.7","26.7","20.3","12.1","6.3","1.6","1.3",".",".",".",".",".",".",".",".","."
"","405
001","238","3.130","16.0","44.5","16.8","10.9","5.5","4.6","1.7",".",".",".",".",".",".",".",".","."
"","405
002","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","Course Total","251","3.166","17.1","45.0","16.3","10.4","5.2","4.4","1.6",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","001
414","319","3.409","53.0","12.2","17.2","8.2","4.7","2.5","1.6","0.3",".",".",".",".","0.3",".",".","."
"Social Psychology","456
001","100","3.268","38.0","19.0","20.0","8.0","11.0","3.0",".",".",".",".",".",".","1.0",".",".","."
"Child Development","460
001","341","3.022","24.3","24.3","20.8","12.9","7.3","7.6","1.8",".",".",".",".",".","0.9",".",".","."
"Human Emotions:Biology-Culture","508
001","157","3.354","37.6","22.3","24.8","3.8","7.6","1.3","0.6",".",".",".",".",".","1.9",".",".","."
"Issues Child Psychopathology","001
510","152","3.156","25.0","27.0","24.3","10.5","8.6","2.6","1.3",".",".",".",".",".",".",".","0.7","."
"Neurobiology","523
001","116","3.157","30.2","24.1","21.6","10.3","6.9","3.4","2.6","0.9",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","157","3.806","77.1","14.0","4.5","1.3","0.6","0.6","0.6",".",".",".",".",".","1.3",".",".","."
"Psych Effects of the Internet","532
001","188","3.495","58.5","21.8","8.5","2.7","1.6","3.7","3.2",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","25","3.979","92.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
