"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.605","73.7","10.5","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","101
002","20","3.625","70.0","15.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","003
101","21","3.725","57.1","23.8","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","101
004","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","78","3.682","66.7","17.9","10.3","1.3",".",".","2.6","1.3",".",".",".",".",".",".",".","."
"","103
001","16","3.469","68.8","12.5",".","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","103
002","19","3.421","57.9","21.1",".","10.5",".","10.5",".",".",".",".",".",".",".",".",".","."
"","103
003","18","3.278","55.6","5.6","22.2","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","103
004","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","103
005","13","3.692","69.2","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","103
006","22","3.667","63.6","18.2","4.5",".","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"","103
008","21","3.262","61.9","9.5","4.8","4.8","4.8","9.5","4.8",".",".",".",".",".",".",".",".","."
"","103
009","20","3.425","45.0","25.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","147","3.497","61.9","15.6","6.1","5.4","4.8","3.4","2.0",".",".",".",".",".","0.7",".",".","."
"","105
001","48","3.469","62.5","8.3","14.6","2.1","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","105
002","50","3.745","66.0","14.0","10.0","2.0","2.0",".",".","4.0",".",".",".",".",".",".","2.0","."
"First Semester Korean","Course Total","98","3.605","64.3","11.2","12.2","2.0","4.1","3.1",".","2.0",".",".",".",".",".",".","1.0","."
"2nd Sem Elementary Japanese","114
002","15","3.536","46.7","20.0","20.0",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","123
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","123
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Filipino","Course Total","18","3.833","83.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","125
001","17","3.765","76.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","127
001","7","2.929","28.6","14.3","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","129
001","8","3.143","12.5","25.0","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"","129
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","Course Total","9","3.063","11.1","22.2","22.2","33.3",".",".",".","11.1",".",".",".",".",".",".",".","."
"First Semester Vietnamese","131
001","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","133
001","12","3.667","75.0",".","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","135
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","137
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","139
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Sanskrit","141
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","20","3.722","65.0","10.0","10.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","201
002","17","3.706","58.8","35.3",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","201
003","18","3.639","66.7","16.7","5.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","55","3.689","63.6","20.0","5.5",".","7.3",".",".","3.6",".",".",".",".",".",".",".","."
"","203
001","16","3.375","43.8","12.5","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.353","41.2","29.4","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","003
203","19","3.342","47.4","26.3","5.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","203
004","12","3.208","25.0","33.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","Course Total","64","3.328","40.6","25.0","14.1","9.4","7.8","1.6","1.6",".",".",".",".",".",".",".",".","."
