"","ASIAN LANGUAGES AND CULTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Gateway to Asia Special Topics","100","001","","89","3.222","10.1","48.3","24.7","11.2","3.4",".","1.1",".",".",".",".",".",".","1.1",".","."
"Intro-E Asian History:China","103","001","","37","3.597","54.1","21.6","16.2","2.7",".","2.7",".",".",".",".",".",".","2.7",".",".","."
"Intro-E Asian History:Japan","104","001","","31","3.113","22.6","12.9","48.4","9.7","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"Art/Sci of Human Flourishing","120","001","","24","3.771","70.8","20.8",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Health & Healing in South Asia","218","001","","46","3.398","37.0","28.3","6.5","21.7","2.2",".",".","4.3",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","24","3.625","66.7","20.8","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","","42","3.526","64.3","11.9","4.8",".","7.1",".","4.8","2.4",".",".",".",".","4.8",".",".","."
"Directed Study","299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","","17","3.750","64.7","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9",".","."
"","300","002","","28","3.786","60.7","35.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","29","3.897","79.3","20.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","","32","3.952","87.5","9.4",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","300","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","008","","9","3.333","22.2","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Asian Studies","","Course Total","","120","3.816","69.2","23.3","2.5","2.5",".",".",".",".",".",".",".",".","1.7","0.8",".","."
"Social Studies Topics in EAS","301","001","","13","3.615","76.9","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307","001","","39","3.947","92.3",".","5.1",".",".",".",".",".",".",".",".",".",".","2.6",".","."
"The Vietnam Wars","319","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Hist-Modern China,1800-1949","341","001","","9","3.167","44.4","11.1","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Lovers, Warriors and Monks","353","001","","22","3.841","81.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","","96","3.807","76.0","15.6","7.3",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"Meditation Buddhism & Hinduism","473","001","","11","3.778","72.7",".",".",".","9.1",".",".","9.1",".",".",".",".",".","9.1",".","."
"","630","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","630","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","","Course Total","","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"History of Chinese Language","631","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature I","641","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnography in Asia","655","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 186 of 467",""
