"PATHOLOGY AND LABORATORY Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research","54","",".",".",".",".",".",".","",".","66.7","",".",".","",".","25.9","",".",".","7.4","."
"PATH
Dept. Total
704","388","3.728","13.1","2.8","1.5","0.3","0.3","0.3","",".","62.4","",".","14.7","",".","3.6","",".",".","1.0","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","12","3.143","41.7","8.3","25.0","8.3","8.3","8.3","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","10","3.800","80.0",".","20.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","11","3.897","72.7","27.3",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","34","3.567","61.8","11.8","17.6","2.9","2.9","2.9","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","172","3.891","42.4","4.1",".",".",".",".","",".","17.4","",".","25.6","",".","8.1","",".",".","2.3","."
"Prof Yr 2","11","",".",".",".",".",".",".","",".",".","",".","100.0","",".",".","",".",".",".","."
"Prof Yr 3","16","",".",".",".",".",".",".","",".","93.8","",".","6.3","",".",".","",".",".",".","."
"Prof Yr 4","200","4.000","1.0",".",".",".",".",".","",".","98.5","",".","0.5","",".",".","",".",".",".","."
"Professionals","227","4.000","0.9",".",".",".",".",".","",".","93.4","",".","5.7","",".",".","",".",".",".","."
"Dept. Total","433","3.728","22.2","2.5","1.4","0.2","0.2","0.2","",".","55.9","",".","13.2","",".","3.2","",".",".","0.9","."
