"","990
074","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
075","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
076","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","20","",".",".",".",".","",".","",".","",".","70.0","",".",".","",".","5.0",".",".","25.0","."
"POP HLTH
810","Dept. Total","404","3.854","40.6","7.4","3.2",".","",".","",".","",".","30.0","",".","16.6","",".","0.2","0.5",".","1.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","21","3.855","81.0","9.5","9.5",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","50","3.810","74.0","14.0","12.0",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","71","3.823","76.1","12.7","11.3",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","24","3.921","25.0","4.2",".",".","",".","",".","",".","70.8","",".",".","",".",".",".",".",".","."
"Graduate","","150","3.868","66.7","12.7","3.3",".","",".","",".","",".","11.3","",".",".","",".","0.7","1.3",".","4.0","."
"Prof Yr 1","","63","",".",".",".",".","",".","",".","",".",".","",".","100.0","",".",".",".",".",".","."
"Prof Yr 2","","5","***","","","","","","","","","","","","","","80.0","",".",".",".",".",".","."
"Prof Yr 3","","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","86","3.813","2.3","1.2",".",".","",".","",".","",".","96.5","",".",".","",".",".",".",".",".","."
"Professionals","","159","3.893","2.5","0.6",".",".","",".","",".","",".","54.7","",".","42.1","",".",".",".",".",".","."
"","Dept. Total","404","3.854","40.6","7.4","3.2",".","",".","",".","",".","30.0","",".","16.6","",".","0.2","0.5",".","1.5","."
