"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","172","3.518","42.4","32.6","16.9","5.2","0.6","1.2","0.6",".",".",".",".",".","0.6",".",".","."
"","240
003","135","3.659","59.3","28.9","7.4","2.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"","004
240","139","3.719","69.8","22.3","4.3","0.7",".",".","2.9",".",".",".",".",".",".",".",".","."
"Data Science Modeling I","Course Total","446","3.624","56.1","28.3","10.1","2.9","0.2","0.4","1.8",".",".",".",".",".","0.2",".",".","."
"","301
001","135","2.885","20.7","15.6","20.7","17.8","21.5","1.5","2.2",".",".",".",".",".",".",".",".","."
"","301
002","132","2.781","23.5","6.1","22.7","17.4","20.5","6.1","2.3",".",".",".",".",".","1.5",".",".","."
"","301
003","127","2.880","26.8","10.2","21.3","15.0","16.5","6.3","2.4",".",".",".",".",".","1.6",".",".","."
"Intro-Statistical Methods","Course Total","394","2.849","23.6","10.7","21.6","16.8","19.5","4.6","2.3",".",".",".",".",".","1.0",".",".","."
"","303
001","33","3.318","48.5","12.1","21.2","3.0","12.1",".","3.0",".",".",".",".",".",".",".",".","."
"","303
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","64","3.641","65.6","7.8","18.8","4.7","3.1",".",".",".",".",".",".",".",".",".",".","."
"","303
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics I","Course Total","106","3.552","62.3","8.5","17.9","3.8","6.6",".","0.9",".",".",".",".",".",".",".",".","."
"","001
304","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","34","3.721","70.6","11.8","11.8","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","304
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics II","Course Total","50","3.710","74.0","8.0","10.0","2.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","305
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
003","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics III","Course Total","28","3.786","67.9","21.4","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","309
001","58","3.207","37.9","20.7","15.5","13.8","3.4","8.6",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","37","3.108","35.1","8.1","37.8","8.1","2.7","2.7","5.4",".",".",".",".",".",".",".",".","."
"","311
001","71","3.239","39.4","21.1","21.1","7.0","4.2","2.8","4.2",".",".",".",".",".",".",".",".","."
"","311
002","70","3.125","21.4","24.3","25.7","11.4","12.9","1.4",".",".",".",".",".",".","2.9",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","141","3.183","30.5","22.7","23.4","9.2","8.5","2.1","2.1",".",".",".",".",".","1.4",".",".","."
"Intro Math Stat (Theo,Meth) II","001
312","41","3.268","41.5","19.5","12.2","14.6","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"","324
001","136","3.228","27.2","22.1","33.1","8.8","6.6","2.2",".",".",".",".",".",".",".",".",".","."
"","324
002","130","3.185","29.2","23.8","25.4","10.0","7.7","1.5","2.3",".",".",".",".",".",".",".",".","."
"","324
003","131","2.821","25.2","9.9","19.8","16.8","19.1","6.9","2.3",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","397","3.079","27.2","18.6","26.2","11.8","11.1","3.5","1.5",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","002
333","47","3.202","31.9","19.1","21.3","17.0","8.5","2.1",".",".",".",".",".",".",".",".",".","."
"","340
001","120","3.042","19.2","25.8","24.2","17.5","10.0","0.8","2.5",".",".",".",".",".",".",".",".","."
"","340
002","131","3.179","20.6","32.8","23.7","12.2","9.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"Data Science Modeling II","Course Total","251","3.114","19.9","29.5","23.9","14.7","9.6","0.8","1.6",".",".",".",".",".",".",".",".","."
"","001
349","38","3.079","34.2","18.4","13.2","13.2","13.2","7.9",".",".",".",".",".",".",".",".",".","."
"","349
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Time Series","Course Total","43","3.070","32.6","16.3","16.3","16.3","11.6","7.0",".",".",".",".",".",".",".",".",".","."
"","371
001","117","2.910","27.4","13.7","18.8","12.8","22.2","0.9","4.3",".",".",".",".",".",".",".",".","."
