"ENGR MECHANICS & AEROSPA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","124","2.823","23.4","18.5","21.0","13.7","8.9","8.9","5.6",".",".",".",".",".",".",".",".","."
"201","002","","134","2.844","23.9","18.7","21.6","13.4","7.5","3.7","9.0","1.5",".",".",".",".","0.7",".",".","."
"Statics","Course Total","","258","2.833","23.6","18.6","21.3","13.6","8.1","6.2","7.4","0.8",".",".",".",".","0.4",".",".","."
"202
Dynamics","001","","91","2.736","5.5","16.5","33.0","23.1","17.6","2.2","2.2",".",".",".",".",".",".",".",".","."
"303","001","","61","2.352","14.8","16.4","23.0","4.9","13.1","11.5","16.4",".",".",".",".",".",".",".",".","."
"303","002","","36","2.306","16.7","5.6","19.4","16.7","13.9","16.7","11.1",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","97","2.335","15.5","12.4","21.6","9.3","13.4","13.4","14.4",".",".",".",".",".",".",".",".","."
"307","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","004","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","006","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"307","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","64","3.797","73.4","17.2","6.3","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"395
Matrls-Constructed Facilities","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","24","3.229","37.5","16.7","16.7","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","44","3.375","15.9","56.8","25.0",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","47","2.915","19.1","25.5","23.4","12.8","6.4","10.6","2.1",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","53","3.333","34.0","20.8","24.5","9.4","7.5",".",".",".",".",".",".",".","3.8",".",".","."
"524
Rocket Propulsion","001","","24","3.125","12.5","37.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","10","3.400","40.0","10.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"541
Heterogeneous&Multiphase Mtrls","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","41","2.793","19.5","14.6","22.0","7.3","29.3","7.3",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","15","3.400","26.7","26.7","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Special Topics: Engr Mech","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
