"SOIL SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","","",""
"Intro to Environmental Science","250","001","","67","3.015","22.4","25.4","25.4","13.4","6.0","1.5","6.0",".",".",".",".",".",".",".",".","."
"","299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"General Soil Science","301","001","","57","3.268","33.3","19.3","28.1","8.8","5.3","3.5",".",".",".",".",".",".","1.8",".",".","."
"Soil Biology","323","001","","28","3.750","75.0","7.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Env. Monitor Earth's Crit Zone","327","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grassland Ecology","370","001","","28","3.821","85.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Microbiology","425","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir Soil Contamination","430","001","","13","3.423","30.8","38.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeochem","451","001","","13","3.615","61.5","30.8",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Soil Management","499","001","","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Geomorphology","525","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Environmental Biophysics","532","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Physics","622","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","728","001","","24","3.917","95.8",".",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Colloquium: Envir Remed Mgmt","730","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","22","",".",".",".",".",".",".",".","68.2","4.5",".",".","27.3",".",".",".","."
