"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"555","001","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"555","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","Course Total","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"602
Topics in Human Factors","001","","28","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics in Engr Anlytcs and OR","001","","17","3.471","47.1","11.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"604
Topics in Manufacturing","001","","8","3.500","75.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"608
Safety & Quality-Med Use Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"618
Quality Engr & Quality Mgmnt","003","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","5","***","","","","","","","","","","","","","","","",""
"645
Engineering Supply Chains","001","","30","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"702
Grad Cooperative Educ Program","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"723
Dynamic Prog & Assoc Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Nonlinear Optimization II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 142 of 467",""
