"Smr-Latin American Area","982
003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","990
001","","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
002","","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","","72","3.420","58.3","12.5","8.3","4.2","8.3","1.4","2.8","4.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.583","66.7","16.7",".",".","16.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","8","2.968","75.0",".",".",".",".",".","25.0",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","15","3.043","33.3","20.0","13.3","6.7","20.0","6.7",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","21","3.551","57.1","19.0","9.5","4.8","9.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","50","3.306","54.0","16.0","8.0","4.0","12.0","2.0","4.0",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","18","3.885","72.2","5.6","5.6",".",".",".",".","16.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","72","3.420","58.3","12.5","8.3","4.2","8.3","1.4","2.8","4.2","",".",".","",".","",".","",".",".",".","."
