"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2530","3.441","48.5","19.5","13.3","6.4","4.4","1.4","1.1","2.2","",".","0.5","",".","0.7","1.6","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","627","3.260","34.0","25.7","18.5","10.4","7.0","2.2","1.4",".","",".",".","",".",".","0.6","0.2",".","."
"Sophomore","","660","3.473","48.9","22.3","15.8","6.8","3.9","0.9","1.1",".","",".",".","",".",".","0.3",".",".","."
"Junior","","479","3.503","53.4","20.3","12.1","4.8","4.0","1.7","1.5",".","",".",".","",".",".","2.1","0.2",".","."
"Senior","","408","3.472","53.4","17.4","13.2","6.1","5.1","1.5","1.0",".","",".",".","",".","0.5","1.0","0.7",".","."
"Undergraduates","","2174","3.414","46.5","21.9","15.3","7.3","5.1","1.6","1.2",".","",".",".","",".","0.1","0.9","0.2",".","."
"Special","","38","3.565","28.9","28.9","5.3",".",".","2.6",".","13.2","",".",".","",".",".","7.9",".","13.2","."
"Graduate","","318","3.888","65.1","1.9","0.9","0.9","0.6",".",".","16.0","",".","4.1","",".","4.7","5.3",".","0.3","."
"","Dept. Total","2530","3.441","48.5","19.5","13.3","6.4","4.4","1.4","1.1","2.2","",".","0.5","",".","0.7","1.6","0.2","0.2","."
