"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","3","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","24","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","30","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","3","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","81","4.000","98.8","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","1.2",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","18","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","20","4.000","10.0","",".","",".","",".","",".","",".","",".","90.0","",".",".","",".","",".",".",".",".","."
