"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Intro to Animal Sciences","001","","118","3.021","20.3","17.8","28.0","15.3","16.1","1.7",".",".",".",".",".",".",".",".",".","0.8"
"102","001","","25","3.938","92.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".",".","4.0"
"102","002","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","26","3.769","76.9","7.7","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Sciences Lab","Course Total","","76","3.847","81.6","7.9","6.6","1.3","1.3",".",".",".",".",".",".",".",".",".",".","1.3"
"135
Careers in Animal Sciences","001","","46","3.859","84.8","2.2","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","144","3.109","33.3","20.1","15.3","12.5","11.1","3.5","2.8",".",".",".",".",".","1.4",".",".","."
"245
Animal Welfare","001","","36","3.186","27.8","22.2","30.6","2.8","11.1",".","2.8","2.8",".",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","37","2.917","24.3","8.1","27.0","13.5","21.6",".","2.7",".",".",".",".",".","2.7",".",".","."
"336
Animal Growth and Development","001","","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"375","004","","10","3.222","20.0","20.0","40.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"375","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","21","3.553","57.1","9.5","19.0",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"414
Ruminant Nutr & Metab","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","40","3.650","50.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","30","3.617","43.3","36.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Thesis","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","4","***","","","","","","","","","","","","","","","",""
"824
Ruminant Nutr Phys I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","11","3.625","27.3","36.4","9.1",".",".",".",".","9.1",".",".",".",".","18.2",".",".","."
"875","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.727","60.0","24.0","4.0",".",".",".",".","4.0",".",".",".",".","8.0",".",".","."
