"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","100
001","78","3.712","76.9","9.0","3.8","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","100
002","12","3.208","58.3","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Experiencing Theatre","Course Total","90","3.617","74.4","11.1","3.3","4.4","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Intro-Theatre & Dramatic Lit","001
120","61","3.434","49.2","29.5","8.2","1.6","6.6","1.6","3.3",".",".",".",".",".",".",".",".","."
"Fund of Theatrical Design","130
001","21","3.600","66.7",".","19.0",".","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"Voice1 Effective Communication","140
001","17","3.588","76.5",".","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","150
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","20","3.775","90.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","150
004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","20","3.750","90.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","109","3.881","91.7","4.6","0.9","0.9",".",".","1.8",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","27","3.596","59.3","18.5","14.8",".",".",".","3.7",".",".",".",".",".","3.7",".",".","."
"","162
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Experience","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","30","3.683","83.3",".","6.7","3.3","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","200
002","29","3.603","79.3",".","6.9","3.4","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"","200
003","29","3.724","72.4","6.9","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","200
004","28","3.661","82.1","3.6",".","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","116","3.668","79.3","2.6","6.9","5.2","3.4",".","2.6",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Costume Studio Practicum","221
001","12","3.333","75.0",".",".",".","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","22","3.750","72.7","9.1","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Africn-Amer Performnc","329
001","7","3.604","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","001
357","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
101","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Performance in Practice","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
