"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"609
Mathematical Statistics I","001","","31","3.414","25.8","32.3","29.0","6.5",".",".",".","6.5",".",".",".",".",".",".",".","."
"610","001","","37","3.527","29.7","45.9","24.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"610","002","","21","3.595","42.9","33.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","","58","3.552","34.5","41.4","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"628
Data Science Practicum","001","","63","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","11","3.455","45.5","9.1","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","25","3.600","36.0","48.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Special Topics in Statistics","001","","37","3.459","43.2","13.5","37.8","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"681","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698
Directed Study","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","192","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Mathematical Statistics","001","","28","3.704","42.9","50.0","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"726
Nonlinear Optimization I","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"733
Theory of Probability I","001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Statistical Computing","001","","26","3.596","42.3","34.6","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"775
Intro-Bayesian Decisn&Cntrl","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Thry&Appl-Regress&AnalVar I","001","","26","3.673","46.2","42.3","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Theory of Machine Learning","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"888
Topics in Math Data Science","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 355 of 467",""
