"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.526","36.8","42.1","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","38","3.763","68.4","21.1","7.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","106
001","14","4.000","78.6",".",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"","002
106","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","106
003","20","3.500","55.0","10.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","52","3.622","57.7","13.5","15.4","3.8","3.8",".",".",".",".",".",".",".","5.8",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","16","3.531","75.0","6.3",".","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","139
001","19","3.789","84.2","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","139
002","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
003","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Belong, Explore, Become","Course Total","57","3.868","86.0","8.8","3.5",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"","145
001","271","3.833","88.9","5.2","1.5",".","1.1",".","2.6",".",".",".",".",".",".",".","0.7","."
"","145
002","194","3.894","93.8","0.5","2.1",".","2.6","1.0",".",".",".",".",".",".",".",".",".","."
"","145
003","112","3.844","90.2","2.7","2.7","1.8","0.9",".","1.8",".",".",".",".",".",".",".",".","."
"How to Succeed in College","Course Total","577","3.856","90.8","3.1","1.9","0.3","1.6","0.3","1.6",".",".",".",".",".",".",".","0.3","."
"","210
001","18","3.833","83.3","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","210
002","20","3.737","85.0",".","5.0",".",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"","210
003","21","3.571","81.0","4.8",".","4.8",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","210
004","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","17","3.813","88.2",".",".",".",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"","210
006","22","3.773","90.9",".","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","210
007","19","3.816","89.5","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","210
008","17","3.441","70.6",".","11.8","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","210
009","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","210
010","22","3.619","68.2","9.1","4.5","9.1",".","4.5",".",".",".",".",".",".",".","4.5",".","."
"","210
011","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
012","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
013","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","247","3.777","83.8","6.1","2.8","1.6","1.2","1.6","1.6","0.4",".",".",".",".","0.4","0.4",".","."
"Communicating About Careers","215
001","149","3.804","84.6","6.0","3.4","0.7","3.4",".","1.3",".",".",".",".",".","0.7",".",".","."
"","250
001","15","3.844","73.3","13.3",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
002","14","3.931","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
250","15","3.769","66.7","13.3",".",".","6.7",".",".",".",".",".",".",".","13.3",".",".","."
"","250
004","16","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","250
005","19","3.889","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","18","3.512","61.1","27.8",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","250
007","15","3.879","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
008","18","3.895","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","18","3.919","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","15","3.955","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","163","3.844","77.3","16.0","0.6","0.6","0.6","1.2",".",".",".",".",".",".","3.7",".",".","."
