"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"872
Topic-Macromoleculr/Biophys","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chemistry-Biology Interface","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Teaching of Chemistry","001","","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Sngl Molec Apprchs to Biology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Genomic Sciences Program Semin","157","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"980","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","017","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","050","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","058","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","067","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","076","","5","***","","","","","","","","","",".",".",".",".",".",".","."
