"Issues in Amer Ind Studies","450
001","20","3.286","40.0",".","20.0",".","5.0",".","5.0","20.0",".","",".",".","",".","","5.0",".","5.0","."
"American Indian History","490
001","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".","",".",".","",".","",".",".",".","."
"Directed Study","699
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","548","3.621","60.2","23.9","5.1","1.6","2.2","0.5","2.7","2.2","",".",".","",".","",".","0.7",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","192","3.482","53.1","28.1","6.8","1.6","4.2","1.0","4.2",".","",".",".","",".","",".","1.0",".",".","."
"Sophomore","","185","3.689","69.2","22.2","2.7","1.1","1.6","0.5","2.7",".","",".",".","",".","",".",".",".",".","."
"Junior","","72","3.725","63.9","26.4","4.2","2.8",".",".","1.4",".","",".",".","",".","",".","1.4",".",".","."
"Senior","","75","3.723","62.7","22.7","9.3","2.7","1.3",".",".",".","",".",".","",".","",".","1.3",".",".","."
"Undergraduates","","524","3.623","61.6","25.0","5.3","1.7","2.3","0.6","2.7",".","",".",".","",".","",".","0.8",".",".","."
"Special","","17","0.000",".",".",".",".",".",".","5.9","70.6","",".",".","",".","",".",".",".","23.5","."
"Graduate","","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","548","3.621","60.2","23.9","5.1","1.6","2.2","0.5","2.7","2.2","",".",".","",".","",".","0.7",".","0.7","."
