"AFRICAN CULTURAL STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","","",""
"Fifth Semester Swahili","435","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","671","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Writing Afri Cultr Std","700","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching African Languages","703","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CALx Working Group","804","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","926","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"","999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","","Course Total","","3","***","","","","","","","","","","","","","","","",""
