"Summary by Level","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"LACIS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","9","3.714","77.8","",".","22.2","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","13","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
25","3.903","88.0","",".","8.0","",".","",".","",".","",".","4.0","",".",".",".",".",".",".",".","."
