"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","14","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","13","2.923","38.5","7.7","7.7","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","","Course Total","","27","3.222","48.1","11.1","11.1","11.1","14.8",".","3.7",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","201","001","","9","2.722","33.3","11.1","22.2",".","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311","001","","14","3.750","71.4","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","899","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
